WO;Type_WO;Date;Description;Unit_or_Tag_Number;Actual Hours;Estimated Hours
1802679;B;09 Jun 2025; Hose broken (jj d/s);HD0054;0;1
1799136;B;03 Jun 2025; Hose broken (jj n/s);HD0054;1;1
1799150;B;03 Jun 2025; Hose broken (jj n/s);HD0054;0;1
1800700;B;06 Jun 2025; Hose broken (jj n/s);HD0054;0;1
1828163;N;29 Jul 2025; Not starting;HD0054;0;0
1799470;B;05 Jun 2025; Park brake (jj n/s);HD0054;1;1
1829905;B;31 Jul 2025; Rear camera (jj n/s;HD0054;1;1
1799570;H;04 Jun 2025;AFG D/NOTE 244707 - ARNO;HD0054;0,08;1
1815448;H;22 Jun 2025;AFG D/NOTE 251773 - ISAAC;HD0054;0,08;1
1805198;H;12 Jun 2025;AFM D/NOTE 244556 TIMMY;HD0054;0,08;1
1799603;H;03 Jun 2025;AFM D/NOTE 244704 TYRON;HD0054;0,08;1
1804020;H;09 Jun 2025;AFM D/NOTE 244740 TYRON;HD0054;0,08;1
1834304;H;16 Jul 2025;AFM D/NOTE 257513 STEFAN;HD0054;0,01;1
1834333;H;16 Jul 2025;AFM D/NOTE 257542 ALRIDGE;HD0054;0,01;1
1800815;H;05 Jun 2025;AFM D/NOTE: 244720 OFTEN;HD0054;0,08;1
1800785;H;05 Jun 2025;AFM D/NOTE: 244721 TYRON;HD0054;0,08;1
1819682;B;11 Jul 2025;AIR CON- 63W74N SWD;HD0054;1;1
1801788;B;07 Jun 2025;Aircon;HD0054;1;1
1826742;B;25 Jul 2025;AIRCON + CAMERA @ 88S18W MW;HD0054;1;1
1817446;B;07 Jul 2025;AIRCON AND NO WATER @ BOOM 2 I;HD0054;1;1
1803026;B;09 Jun 2025;AIRCON FAULTY;HD0054;0;1
1827616;B;28 Jul 2025;AIRCON FAULTY;HD0054;1;1
1827730;B;28 Jul 2025;AIRCON FAULTY;HD0054;1;1
1828451;B;30 Jul 2025;AIRCON FAULTY;HD0054;3;1
1828786;B;31 Jul 2025;AIRCON FAULTY;HD0054;1;1
1810539;B;24 Jun 2025;AIRCON NOT WORKING;HD0054;0;1
1796376;B;29 May 2025;Aircon problem (jj d/s);HD0054;1;1
1810607;B;25 Jun 2025;Aircon problem (jj d/s);HD0054;1;1
1800658;B;05 Jun 2025;Aircon problem (jj n/s);HD0054;0;1
1801751;B;06 Jun 2025;Aircon problem (jj n/s);HD0054;1;1
1817546;C;08 Jul 2025;Antifreeze;HD0054;0;0,01
1799471;B;05 Jun 2025;battery low (jj n/s);HD0054;1;1
1827961;C;29 Jul 2025;Boom 2 Lift cylinder;HD0054;0,16;1
1813578;B;01 Jul 2025;CHANGE ELECT CABLE;HD0054;0,08;1
1840019;B;19 Aug 2025;COOLANT REFILL;HD0054;0;0
1819653;B;11 Jul 2025;COOLANT- SWD BOX;HD0054;1;1
1817447;B;07 Jul 2025;DIESEL EMPTY @ 42W 72S R5;HD0054;0,1;1
1809795;C;23 Jun 2025;Dowels;HD0054;0,16;0,1
1790903;D;16 May 2025;Drillstring for HD0054;HD0054;0;0
1798731;D;03 Jun 2025;Drillstring for HD0054;HD0054;0;0
1798738;D;03 Jun 2025;Drillstring for HD0054;HD0054;0;0
1802749;D;09 Jun 2025;Drillstring for HD0054;HD0054;0;0
1806712;D;17 Jun 2025;Drillstring for HD0054;HD0054;0;0
1806738;D;17 Jun 2025;Drillstring for HD0054;HD0054;0;0
1809839;D;23 Jun 2025;Drillstring for HD0054;HD0054;0;0
1810917;D;26 Jun 2025;Drillstring for HD0054;HD0054;0;0
1814183;D;03 Jul 2025;Drillstring for HD0054;HD0054;0;0
1821512;D;15 Jul 2025;Drillstring for HD0054;HD0054;0;0
1825544;D;24 Jul 2025;Drillstring for HD0054;HD0054;0;0
1827659;D;28 Jul 2025;Drillstring for HD0054;HD0054;0;0
1828573;D;30 Jul 2025;Drillstring for HD0054;HD0054;0;0
1831679;D;05 Aug 2025;Drillstring for HD0054;HD0054;0;0
1831976;D;06 Aug 2025;Drillstring for HD0054;HD0054;0;0
1832047;D;06 Aug 2025;Drillstring for HD0054;HD0054;0;0
1838334;D;15 Aug 2025;Drillstring for HD0054;HD0054;0;0
1799675;D;05 Jun 2025;Drilltring for HD0054;HD0054;0;0
1821940;B;16 Jul 2025;ELECT IS TRIPPING ON RIGG;HD0054;0;1
1838412;B;15 Aug 2025;FAIL TO START;HD0054;0;1
1827945;B;28 Jul 2025;fan not working (88s20w mw);HD0054;1;1
1831902;B;06 Aug 2025;fitting broken (jj d/s);HD0054;1;1
1827946;B;28 Jul 2025;Fitting leaking (jj n/s;HD0054;0,33;1
1793011;B;22 May 2025;Flow Regualtor;HD0054;0,5;0,1
1784523;B;05 May 2025;HARNESS;HD0054;0;0,01
1838521;B;15 Aug 2025;Hose broken jj n/s;HD0054;0;1
1838319;B;15 Aug 2025;HOSES;HD0054;0;1
1778038;P;19 May 2025;Hyd Drill  El Wk Main;HD0054;0,5;6,6
1783034;P;26 May 2025;Hyd Drill  El Wk Main;HD0054;3;6,6
1790366;P;04 Jun 2025;Hyd Drill  El Wk Main;HD0054;2;6,6
1797127;P;20 Jun 2025;Hyd Drill  El Wk Main;HD0054;2;6,6
1804749;P;08 Jul 2025;Hyd Drill  El Wk Main;HD0054;2;0
1811876;P;23 Jul 2025;Hyd Drill  El Wk Main;HD0054;0,5;0
1819138;P;08 Aug 2025;Hyd Drill  El Wk Main;HD0054;0;6,6
1826354;P;25 Aug 2025;Hyd Drill  El Wk Main;HD0054;0;6,6
1833560;P;10 Sep 2025;Hyd Drill  El Wk Main;HD0054;0;6,6
1821936;B;16 Jul 2025;Hyd hose burst;HD0054;0;1
1821995;B;16 Jul 2025;Hyd hose burst;HD0054;1;1
1819750;B;11 Jul 2025;HYD HOSE LH BOOM- 64W60S SWD;HD0054;0,5;1
1825691;B;24 Jul 2025;HYD HOSE- MW WPLACE;HD0054;0,75;1
1805720;B;13 Jun 2025;HYDRAULIC HOSE BURST;HD0054;0;1
1828448;B;30 Jul 2025;HYDRAULIC HOSE BURST;HD0054;1;1
1834363;C;08 Aug 2025;Hydraulic pump;HD0054;0;0,01
1796394;B;29 May 2025;L boom not drilling (jj d/s;HD0054;0;1
1820055;B;11 Jul 2025;LOW WATER FLUSHING;HD0054;0,33;1
1778318;P;19 May 2025;N3  HD  Auto Electrician Maint;HD0054;0,08;6
1783287;P;26 May 2025;N3  HD  Auto Electrician Maint;HD0054;4;6
1790588;P;04 Jun 2025;N3  HD  Auto Electrician Maint;HD0054;4;6
1797359;P;20 Jun 2025;N3  HD  Auto Electrician Maint;HD0054;6;6
1804973;P;08 Jul 2025;N3  HD  Auto Electrician Maint;HD0054;4;6
1812154;P;23 Jul 2025;N3  HD  Auto Electrician Maint;HD0054;6;6
1819383;P;08 Aug 2025;N3  HD  Auto Electrician Maint;HD0054;3,5;6
1826598;P;25 Aug 2025;N3  HD  Auto Electrician Maint;HD0054;0;6
1833880;P;10 Sep 2025;N3  HD  Auto Electrician Maint;HD0054;0;6
1785733;P;04 Jun 2025;N3 3Mnthl HD RT Engine Service;HD0054;4;1
1833546;P;10 Sep 2025;N3 3Mnthl HD RT Engine Service;HD0054;0;0
1771665;P;01 May 2025;N3 CAS 3Monthly Inspection;HD0054;1;3
1816856;P;01 Aug 2025;N3 CAS 3Monthly Inspection;HD0054;0;3
1817389;P;01 Aug 2025;N3 CAS 3Monthly Inspection ZZZ;HD0054;0;0
1778047;P;19 May 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;1;2
1783043;P;26 May 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;0,16;2
1790376;P;04 Jun 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;1;2
1797137;P;20 Jun 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;5;2
1804759;P;08 Jul 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;1;2
1811886;P;23 Jul 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;1;2
1819148;P;08 Aug 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;1;2
1826364;P;25 Aug 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;0;2
1833566;P;10 Sep 2025;N3 Hyd Drill  2Wk Diff Ins;HD0054;0;2
1827938;B;28 Jul 2025;NEED COOLINT (MW BOX);HD0054;1;1
1831393;B;04 Aug 2025;NO DISPLAY ON DASHBOARD @ 41W7;HD0054;1;1
1832141;B;07 Aug 2025;NO ELECT @ 63W60N SWD;HD0054;0;1
1838522;B;15 Aug 2025;No hyd oil (jj n/s);HD0054;0;1
1799446;B;04 Jun 2025;No hyd oil w/s (jj n/s);HD0054;1;1
1831233;B;04 Aug 2025;NO WATER IS FLUSING ON LH BOOM;HD0054;1,5;1
1814192;B;03 Jul 2025;NOT DRILLING;HD0054;0,75;1
1803058;B;09 Jun 2025;Not starting;HD0054;1;1
1803062;C;10 Jun 2025;Not starting;HD0054;2;1
1805700;B;13 Jun 2025;Not starting;HD0054;0;1
1807410;B;19 Jun 2025;Not starting;HD0054;0;1
1805771;B;14 Jun 2025;not switching on (jj d/s;HD0054;0;1
1805357;B;13 Jun 2025;Park brake JJ D/S;HD0054;1;1
1822021;B;17 Jul 2025;PETRO MAN;HD0054;0,1;1
1810540;B;24 Jun 2025;POWER TRIP;HD0054;0;1
1796089;B;28 May 2025;Proxmod;HD0054;0;0,1
1832331;B;07 Aug 2025;PUMP2 CUT OUT;HD0054;0;1
1832370;B;07 Aug 2025;REAR OUTRIGGERS- 42W75S R5;HD0054;1;1
1831232;B;04 Aug 2025;REPAIR LEAKING FITTING;HD0054;0,25;1
1831415;B;05 Aug 2025;RIGHT BOOM;HD0054;1;1
1778034;P;19 May 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;7;4,5
1783030;P;26 May 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;0,16;4,5
1790362;P;04 Jun 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;6,5;4,5
1797122;P;20 Jun 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;6,7;4,5
1804744;P;08 Jul 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;7;4,5
1811868;P;23 Jul 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;2;4,5
1819132;P;08 Aug 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;7;4,5
1826348;P;25 Aug 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;0;4,5
1833554;P;10 Sep 2025;S2 WEEKLY MECH MAINTENANCE;HD0054;0;4,5
1817961;C;09 Jul 2025;SENSOR;HD0054;0,08;1
1808688;C;20 Jun 2025;Spares;HD0054;0,16;0,1
1795706;B;27 May 2025;strata breakdown (w/s);HD0054;2;1
1807382;C;19 Jun 2025;support frame;HD0054;0;0,01
1838902;C;17 Aug 2025;telescopic;HD0054;14;1
1809687;C;23 Jun 2025;Telescopic Set S2;HD0054;0;0,1
1830341;C;02 Aug 2025;TURBO;HD0054;0;0,01
1796335;B;29 May 2025;WATER BOX +LEFT BOOM PERCUSSIO;HD0054;0,5;1
1830054;B;01 Aug 2025;WATER COOLANT;HD0054;2,5;1
1797517;B;30 May 2025;WATER SENSOR+HYDRAULIC HOSE BU;HD0054;0;1
1801741;B;06 Jun 2025;WIRING BURNING WHEN STARTING;HD0054;1;1
Total;;;;;146,43;241,25
;;;;;;
"Applied filters:
Shaft is N3
Unit is HD0054
Date is on or after 01 May 2025
Prod Day is not NO
Prod Year is 2023, 2024, 2025, or 2026";;;;;;
