Section,Task,Status,Priority,Mentions,Tags,Site,Project,Comment
Operations,"Set up BaaS battery availability measurement system Chris Ross Rahab Makolomakwa - Mail sent to Chris Ross, Ronnie, and Phillip to start tracking",In?Progress,medium,"Chris Ross, Rahab Makolomakwa",#task #BaaS #battery #availability #year/2025,Nchwaning3,BEV battery performance montiroing,"Although this is not linked to a specific project per se, it is linked to the BEV battery performance. It is linked to the monthly invoices for rental of the BEV batteries. At the moment we get an availability percentage number from Epiroc. There are some conditions attached to that:
1. They are penalized for lower availability
2. We pay for availability above a certain threshold so, but we are not actually capturing the availability on our side, they are reporting only from their side. So I've asked Chris and Rahab to implement this system. So that I can compare our numbers against the reported numbers from Epiroc before we pay any invoices. "
Projects,Place charger order by end of week,Open,high,,#task #BEV #chargers #order #priority/critical #year/2025,Nchwaning3,BEV Charging Bay #2 project,People: Johnny Hollenbach
BEV Fire Safety,Audit BEV storage areas for compliance with OEM specifications,Open,high,,#task #year/2025 #BEV #storage #audit #priority/critical,Nchwaning3,BEV Battery Fire Safety Programme,People: Johnny Hollenbach
BEV Fire Safety,Review current BEV storage procedures against Epiroc recommendations,Open,high,,#task #year/2025 #BEV #fire-safety #epiroc #priority/critical,Nchwaning3,BEV Battery Fire Safety Programme,People: Johnny Hollenbach
BEV Fire Safety,Implement enhanced lockout/tagout procedures for BEV maintenance,Open,high,,#task #year/2025 #BEV #safety #lockout #priority/critical,Nchwaning3,BEV Battery Fire Safety Programme,People: Johnny Hollenbach
Weekly Reporting,Complete Weekly Engineering Report,Open,high,,#task #year/2025 #priority/critical #recurring,,,
From Daily Note 2025-10-06,Review HD0054 Fire Investigation Report (Alexis Basson),Open,critical,,#task #year/2025 #priority/critical #fire_safety,,,This is the Incident Investigation Report. By an independent fire expert. This is part of the larger HD0054 fire actions that flowed from our own investigations as well as audits. The actions from here must be added and tracked.
From Daily Note 2025-10-06,HD0054 Fire - Identify and document all outstanding close-out actions,Open,critical,,#task #year/2025 #priority/critical #fire_safety,,,This also links to the HD0054 fire incident actions
BEV Bay #2 Project,Confirm delivery timeline with vendor,Open,medium,,#task #BEV #chargers #delivery #priority/critical #year/2025,Nchwaning3,BEV Charging Bay #2 project,People: Johnny Hollenbach
BEV Bay #2 Project,Coordinate with Roelie's construction timeline,done,medium,,#task #BEV #coordination #priority/critical #year/2025,,,
BEV Bay #2 Project,Review charger quote details immediately,Open,medium,,#task #BEV #chargers #priority/critical #year/2025,,,Duplicate
BEV Fire Safety,Review BEV fire risk assessment,Open,high,,#task #BEV #fire-safety #priority/high #year/2025,Nchwaning3,BEV Battery Fire Safety Programme,People: Johnny Hollenbach
BEV Fire Safety,Complete fire risk immediate actions,Open,high,,#task #BEV #fire-safety #priority/high #year/2025,Nchwaning3,BEV Battery Fire Safety Programme,People: Johnny Hollenbach
